Architecture,Activation,Optimizer,SeqLength,GradClipping,Accuracy,F1,EpochTime(s)
lstm,relu,adam,100,False,0.8032,0.802,2.45
lstm,relu,adam,100,True,0.7828,0.7809,2.74
lstm,relu,sgd,100,False,0.5012,0.3805,2.31
lstm,relu,sgd,100,True,0.5093,0.4974,2.55
lstm,relu,rmsprop,100,False,0.7858,0.7858,2.44
lstm,relu,rmsprop,100,True,0.7857,0.7837,2.71
lstm,tanh,adam,100,False,0.8314,0.8314,2.45
lstm,tanh,adam,100,True,0.7968,0.7954,2.7
lstm,tanh,sgd,100,False,0.511,0.4881,2.29
lstm,tanh,sgd,100,True,0.5118,0.5066,2.54
lstm,tanh,rmsprop,100,False,0.7779,0.7756,2.42
lstm,tanh,rmsprop,100,True,0.7962,0.7962,2.67
lstm,sigmoid,adam,100,False,0.6901,0.69,2.43
lstm,sigmoid,adam,100,True,0.8127,0.8127,2.72
lstm,sigmoid,sgd,100,False,0.5007,0.3336,2.27
lstm,sigmoid,sgd,100,True,0.5007,0.3336,2.51
lstm,sigmoid,rmsprop,100,False,0.7655,0.765,2.38
lstm,sigmoid,rmsprop,100,True,0.8073,0.8068,2.67
bilstm,relu,adam,25,False,0.7197,0.7197,2.97
bilstm,relu,adam,25,True,0.7218,0.7217,3.27
bilstm,relu,sgd,25,False,0.5214,0.5153,2.74
bilstm,relu,sgd,25,True,0.519,0.512,3.07
bilstm,relu,rmsprop,25,False,0.7179,0.7172,2.93
bilstm,relu,rmsprop,25,True,0.7222,0.7221,3.2
bilstm,tanh,adam,25,False,0.7204,0.7197,3.01
bilstm,tanh,adam,25,True,0.7168,0.7165,3.3
bilstm,tanh,sgd,25,False,0.5021,0.4935,2.77
bilstm,tanh,sgd,25,True,0.5116,0.5012,3.04
bilstm,tanh,rmsprop,25,False,0.7246,0.7245,2.89
bilstm,tanh,rmsprop,25,True,0.7218,0.7207,3.21
bilstm,sigmoid,adam,25,False,0.7184,0.7181,2.99
bilstm,sigmoid,adam,25,True,0.7213,0.7212,3.28
bilstm,sigmoid,sgd,25,False,0.5024,0.4672,2.73
bilstm,sigmoid,sgd,25,True,0.4993,0.333,3.03
bilstm,sigmoid,rmsprop,25,False,0.721,0.7209,2.92
bilstm,sigmoid,rmsprop,25,True,0.7172,0.7147,3.19
bilstm,relu,adam,50,False,0.7724,0.7723,2.99
bilstm,relu,adam,50,True,0.7757,0.7757,3.31
bilstm,relu,sgd,50,False,0.5146,0.5036,2.75
bilstm,relu,sgd,50,True,0.5145,0.5086,3.08
bilstm,relu,rmsprop,50,False,0.7712,0.7704,2.92
bilstm,relu,rmsprop,50,True,0.7669,0.7652,3.21
bilstm,tanh,adam,50,False,0.7736,0.7735,2.98
bilstm,tanh,adam,50,True,0.7715,0.7714,3.29
bilstm,tanh,sgd,50,False,0.5101,0.5035,2.74
bilstm,tanh,sgd,50,True,0.5081,0.5018,3.03
bilstm,tanh,rmsprop,50,False,0.7601,0.7591,2.89
bilstm,tanh,rmsprop,50,True,0.7633,0.7626,3.2
bilstm,sigmoid,adam,50,False,0.7742,0.7742,2.97
bilstm,sigmoid,adam,50,True,0.7731,0.773,3.28
bilstm,sigmoid,sgd,50,False,0.5007,0.3483,2.73
bilstm,sigmoid,sgd,50,True,0.5007,0.3336,3.06
bilstm,sigmoid,rmsprop,50,False,0.7664,0.766,2.93
bilstm,sigmoid,rmsprop,50,True,0.7691,0.7688,3.21
bilstm,relu,adam,100,False,0.821,0.8209,3.09
bilstm,relu,adam,100,True,0.8202,0.8201,3.43
bilstm,relu,sgd,100,False,0.5232,0.5153,2.84
bilstm,relu,sgd,100,True,0.5128,0.5066,3.17
bilstm,relu,rmsprop,100,False,0.8216,0.8216,3.04
bilstm,relu,rmsprop,100,True,0.7941,0.7911,3.37
bilstm,tanh,adam,100,False,0.83,0.83,3.09
bilstm,tanh,adam,100,True,0.821,0.8208,3.42
bilstm,tanh,sgd,100,False,0.5128,0.5108,2.86
bilstm,tanh,sgd,100,True,0.5185,0.4988,3.13
bilstm,tanh,rmsprop,100,False,0.7988,0.7984,3.04
bilstm,tanh,rmsprop,100,True,0.8211,0.821,3.31
bilstm,sigmoid,adam,100,False,0.8168,0.8168,3.09
bilstm,sigmoid,adam,100,True,0.823,0.823,3.42
bilstm,sigmoid,sgd,100,False,0.5007,0.3336,2.86
bilstm,sigmoid,sgd,100,True,0.5007,0.3336,3.19
bilstm,sigmoid,rmsprop,100,False,0.8144,0.8144,3.06
bilstm,sigmoid,rmsprop,100,True,0.8196,0.8194,3.32
